boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember,type_freq_Bug,type_freq_Feature Request,type_freq_Sub-task,priority_freq_Major,priority_freq_Critical,priority_freq_Blocker,no_comment_min,no_comment_max,no_comment_mean,no_comment_median,no_comment_std,no_comment_var,no_comment_range,no_affectversion_min,no_affectversion_max,no_affectversion_mean,no_affectversion_median,no_affectversion_std,no_affectversion_var,no_affectversion_range,no_fixversion_min,no_fixversion_max,no_fixversion_mean,no_fixversion_median,no_fixversion_std,no_fixversion_var,no_fixversion_range,no_issuelink_min,no_issuelink_max,no_issuelink_mean,no_issuelink_median,no_issuelink_std,no_issuelink_var,no_issuelink_range,no_blocking_min,no_blocking_max,no_blocking_mean,no_blocking_median,no_blocking_std,no_blocking_var,no_blocking_range,no_blockedby_min,no_blockedby_max,no_blockedby_mean,no_blockedby_median,no_blockedby_std,no_blockedby_var,no_blockedby_range,no_fixversion_change_min,no_fixversion_change_max,no_fixversion_change_mean,no_fixversion_change_median,no_fixversion_change_std,no_fixversion_change_var,no_fixversion_change_range,no_priority_change_min,no_priority_change_max,no_priority_change_mean,no_priority_change_median,no_priority_change_std,no_priority_change_var,no_priority_change_range,no_des_change_min,no_des_change_max,no_des_change_mean,no_des_change_median,no_des_change_std,no_des_change_var,no_des_change_range,gunning_fog_freq_hard,gunning_fog_freq_easy,type_freq_Enhancement,type_freq_Task,priority_freq_Minor,type_freq_Epic,priority_freq_Optional,priority_freq_Trivial,type_freq_Component  Upgrade,type_freq_Story,type_freq_Release,type_freq_Tracker
21,341,Beta6,-2,2,8,16,1,2,0,0,7,14,2,4,0,0,1,4,7.0,2.0,2.0,4.0,4.0,3.0,0.0,26.0,5.0,2.0,7.536577472566709,56.8,26.0,0.0,2.0,0.9090909090909091,1.0,0.5393598899705937,0.2909090909090909,2.0,0.0,2.0,1.2727272727272727,1.0,0.6466697906828632,0.41818181818181815,2.0,0.0,3.0,1.0,1.0,1.0954451150103321,1.2,3.0,0.0,1.0,0.18181818181818182,0.0,0.4045199174779452,0.16363636363636358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.2727272727272725,4.0,2.901410315377992,8.418181818181818,9.0,0.0,2.0,0.7272727272727273,1.0,0.6466697906828632,0.41818181818181815,2.0,0.0,2.0,0.36363636363636365,0.0,0.6741998624632419,0.4545454545454543,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,111,Sprint 1,1,14,4,20,0,0,2,18,2,2,0,0,0,0,1,1,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.6,0.0,0.8944271909999157,0.7999999999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.44721359549995804,0.20000000000000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.44721359549995804,0.20000000000000007,1.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,41,Sprint 1 - Critical Issues,-2,14,3,3,0,0,0,0,1,1,2,2,0,0,1,4,0.0,3.0,0.0,0.0,2.0,1.0,3.0,5.0,3.6666666666666665,3.0,1.1547005383792515,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,3.6666666666666665,3.0,3.0550504633038935,9.333333333333334,6.0,0.0,5.0,1.6666666666666667,0.0,2.8867513459481287,8.333333333333332,5.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,6.333333333333333,6.0,0.5773502691896258,0.33333333333333337,1.0,1.0,2.0,1.3333333333333333,1.0,0.5773502691896257,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,0.0,1.1547005383792517,1.3333333333333335,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,81,Sprint 1,-32,12,11,32,0,0,0,0,11,32,0,0,0,0,1,3,1.0,7.0,0.0,4.0,2.0,1.0,0.0,5.0,1.4545454545454546,0.0,2.018099916438052,4.072727272727272,5.0,0.0,1.0,0.45454545454545453,0.0,0.5222329678670934,0.27272727272727265,1.0,0.0,1.0,0.9090909090909091,1.0,0.30151134457776363,0.0909090909090909,1.0,0.0,7.0,1.6363636363636365,1.0,2.062654952856986,4.254545454545455,7.0,0.0,5.0,0.5454545454545454,0.0,1.5075567228888183,2.272727272727273,5.0,0.0,2.0,0.36363636363636365,0.0,0.674199862463242,0.4545454545454545,2.0,0.0,12.0,4.090909090909091,2.0,4.20605623962746,17.690909090909095,12.0,0.0,2.0,0.5454545454545454,0.0,0.8201995322647243,0.6727272727272726,2.0,0.0,2.0,0.2727272727272727,0.0,0.6466697906828632,0.41818181818181815,2.0,1.0,10.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
171,91,Sprint 2,-22,14,9,27,0,0,0,0,4,22,0,0,5,5,1,4,1.0,5.0,0.0,3.0,2.0,1.0,0.0,5.0,2.0,1.0,2.1213203435596424,4.5,5.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.25,1.0,0.0,1.0,0.8888888888888888,1.0,0.33333333333333337,0.11111111111111112,1.0,0.0,7.0,1.8888888888888888,2.0,2.204792759220492,4.861111111111111,7.0,0.0,5.0,0.6666666666666666,0.0,1.6583123951776997,2.7499999999999996,5.0,0.0,2.0,0.4444444444444444,0.0,0.7264831572567789,0.5277777777777778,2.0,0.0,14.0,4.777777777777778,4.0,4.8419463487779835,23.444444444444443,14.0,0.0,2.0,0.7777777777777778,1.0,0.8333333333333334,0.6944444444444445,2.0,0.0,2.0,0.3333333333333333,0.0,0.7071067811865476,0.5,2.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
171,131,Documentation Sprint,0,18,11,31,0,0,0,0,6,18,0,0,5,13,1,4,0.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.45454545454545453,0.0,1.2135597524338357,1.4727272727272727,4.0,0.0,1.0,0.9090909090909091,1.0,0.30151134457776363,0.0909090909090909,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6363636363636364,1.0,0.504524979109513,0.2545454545454546,1.0,0.0,1.0,0.5454545454545454,1.0,0.5222329678670935,0.2727272727272727,1.0,0.0,2.0,1.0909090909090908,1.0,0.5393598899705937,0.2909090909090909,2.0,1.0,10.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,271,Sprint 1,-28,14,9,71,0,0,0,0,8,55,1,16,0,0,1,3,1.0,5.0,0.0,4.0,4.0,0.0,0.0,4.0,1.3636363636363635,1.0,1.5015143870590966,2.2545454545454544,4.0,0.0,1.0,0.6363636363636364,1.0,0.504524979109513,0.2545454545454546,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.1818181818181819,1.0,1.0787197799411874,1.1636363636363636,3.0,0.0,2.0,0.18181818181818182,0.0,0.6030226891555271,0.36363636363636354,2.0,0.0,1.0,0.2727272727272727,0.0,0.46709936649691375,0.21818181818181817,1.0,0.0,14.0,2.5454545454545454,1.0,3.9588795476406293,15.672727272727276,14.0,0.0,1.0,0.5454545454545454,1.0,0.5222329678670935,0.2727272727272727,1.0,0.0,7.0,1.9090909090909092,1.0,2.5081684733903127,6.290909090909091,7.0,8.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
171,371,Sprint 2,-53,14,12,65,0,0,0,0,9,62,2,2,1,1,1,6,6.0,5.0,1.0,7.0,4.0,0.0,0.0,9.0,2.2777777777777777,1.0,3.0448713979518676,9.27124183006536,9.0,0.0,1.0,0.6111111111111112,1.0,0.5016313257045503,0.25163398692810457,1.0,0.0,1.0,0.9444444444444444,1.0,0.23570226039551584,0.05555555555555556,1.0,0.0,1.0,0.16666666666666666,0.0,0.38348249442368526,0.1470588235294118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.6111111111111112,0.0,4.654395631315677,21.66339869281046,20.0,0.0,3.0,0.7222222222222222,0.5,0.8947924869885987,0.8006535947712417,3.0,0.0,6.0,0.6666666666666666,0.0,1.4950900031928038,2.2352941176470584,6.0,6.0,12.0,5.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
171,561,Sprint for Alpha4,-57,14,22,69,0,0,0,0,17,61,2,5,3,3,1,6,3.0,10.0,1.0,11.0,5.0,0.0,0.0,6.0,1.1304347826086956,1.0,1.5463842820677163,2.3913043478260865,6.0,0.0,1.0,0.5652173913043478,1.0,0.5068698018697018,0.25691699604743073,1.0,0.0,1.0,0.8695652173913043,1.0,0.34435022157509093,0.11857707509881421,1.0,0.0,2.0,0.2608695652173913,0.0,0.5408235558637171,0.29249011857707513,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.565217391304348,3.0,5.6312931419517565,31.711462450592887,24.0,0.0,6.0,0.8260869565217391,0.0,1.5270939101039855,2.3320158102766793,6.0,0.0,3.0,0.5652173913043478,0.0,0.8434823356733,0.7114624505928855,3.0,8.0,15.0,2.0,6.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
171,661,Sprint 1,1,14,11,21,2,2,3,10,8,11,0,0,2,2,1,6,2.0,10.0,0.0,8.0,2.0,0.0,0.0,8.0,2.6,1.0,3.0189875313233268,9.114285714285716,8.0,0.0,1.0,0.4,0.0,0.50709255283711,0.2571428571428572,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.48795003647426666,0.23809523809523814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.2666666666666666,1.0,6.041128875900438,36.49523809523809,24.0,0.0,2.0,0.4,0.0,0.6324555320336759,0.4000000000000001,2.0,0.0,3.0,0.7333333333333333,0.0,1.0327955589886446,1.0666666666666669,3.0,5.0,10.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
