boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember,type_freq_Technical task,type_freq_Story,priority_freq_Critical,priority_freq_Blocker,priority_freq_Minor,priority_freq_Major,no_comment_min,no_comment_max,no_comment_mean,no_comment_median,no_comment_std,no_comment_var,no_comment_range,no_affectversion_min,no_affectversion_max,no_affectversion_mean,no_affectversion_median,no_affectversion_std,no_affectversion_var,no_affectversion_range,no_fixversion_min,no_fixversion_max,no_fixversion_mean,no_fixversion_median,no_fixversion_std,no_fixversion_var,no_fixversion_range,no_issuelink_min,no_issuelink_max,no_issuelink_mean,no_issuelink_median,no_issuelink_std,no_issuelink_var,no_issuelink_range,no_blocking_min,no_blocking_max,no_blocking_mean,no_blocking_median,no_blocking_std,no_blocking_var,no_blocking_range,no_blockedby_min,no_blockedby_max,no_blockedby_mean,no_blockedby_median,no_blockedby_std,no_blockedby_var,no_blockedby_range,no_fixversion_change_min,no_fixversion_change_max,no_fixversion_change_mean,no_fixversion_change_median,no_fixversion_change_std,no_fixversion_change_var,no_fixversion_change_range,no_priority_change_min,no_priority_change_max,no_priority_change_mean,no_priority_change_median,no_priority_change_std,no_priority_change_var,no_priority_change_range,no_des_change_min,no_des_change_max,no_des_change_mean,no_des_change_median,no_des_change_std,no_des_change_var,no_des_change_range,gunning_fog_freq_easy,type_freq_Bug,type_freq_New Feature,type_freq_Improvement,type_freq_Task,gunning_fog_freq_hard,priority_freq_Trivial,type_freq_Epic
5,7,Sprint 1,-7,14,4,17,0,0,0,0,2,7,0,0,2,10,1,1,6.0,4.0,4.0,3.0,2.0,1.0,0.0,2.0,0.8,1.0,0.6324555320336759,0.4000000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.0,0.31622776601683794,0.10000000000000002,1.0,0.0,1.0,0.3,0.0,0.48304589153964794,0.23333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.42163702135578396,0.1777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.31622776601683794,0.10000000000000002,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,Babbage - RC1 - Stage One,16,10,1,4,11,44,7,28,5,20,0,0,0,0,1,2,0.0,0.0,0.0,0.0,10.0,7.0,0.0,19.0,1.7647058823529411,0.0,4.576153020888641,20.941176470588232,19.0,0.0,2.0,0.7647058823529411,1.0,0.8313702367707394,0.6911764705882353,2.0,0.0,3.0,1.1764705882352942,1.0,0.8828430011649196,0.7794117647058822,3.0,0.0,4.0,0.8235294117647058,0.0,1.3339459376998315,1.7794117647058827,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6470588235294118,0.0,0.9963167462326072,0.9926470588235295,3.0,0.0,1.0,0.11764705882352941,0.0,0.3321055820775357,0.11029411764705882,1.0,0.0,3.0,0.5294117647058824,0.0,0.8744746321952062,0.7647058823529411,3.0,9.0,9.0,3.0,3.0,2.0,8.0,0.0,0.0
5,14,Babbage - RC1 - Stage Two,32,21,5,20,20,80,0,0,11,44,2,8,12,48,1,2,0.0,0.0,0.0,0.0,22.0,16.0,0.0,13.0,1.4210526315789473,0.0,2.7960549326406734,7.81792318634424,13.0,0.0,2.0,0.5526315789473685,0.0,0.7240041966823504,0.5241820768136555,2.0,0.0,2.0,1.0789473684210527,1.0,0.5873246235015743,0.3449502133712661,2.0,0.0,3.0,0.4473684210526316,0.0,0.7951667654786408,0.6322901849217638,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.23684210526315788,0.0,0.5419788829194208,0.2937411095305832,2.0,0.0,1.0,0.05263157894736842,0.0,0.22629428592141426,0.05120910384068279,1.0,0.0,4.0,0.3684210526315789,0.0,0.8829022360735795,0.7795163584637268,4.0,19.0,13.0,5.0,7.0,13.0,19.0,0.0,0.0
5,17,The Road To SpringOne,28,30,23,92,7,28,2,8,10,40,1,4,17,68,1,3,0.0,0.0,0.0,0.0,20.0,18.0,0.0,16.0,1.763157894736842,1.0,2.9448462587899153,8.672119487908962,16.0,0.0,2.0,0.7631578947368421,1.0,0.6752060957165192,0.45590327169274536,2.0,0.0,2.0,1.105263157894737,1.0,0.6058040751966707,0.36699857752489345,2.0,0.0,2.0,0.13157894736842105,0.0,0.4140147948511245,0.1714082503556187,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.6877303054053769,0.47297297297297297,2.0,0.0,1.0,0.10526315789473684,0.0,0.3110117477759048,0.09672830725462303,1.0,0.0,4.0,0.4473684210526316,0.0,1.0053201297597412,1.0106685633001427,4.0,16.0,19.0,1.0,11.0,7.0,22.0,0.0,0.0
5,22,SpringOne Aftermath,60,21,0,0,21,84,0,0,14,56,4,16,3,12,1,2,0.0,0.0,0.0,0.0,30.0,12.0,0.0,7.0,0.9285714285714286,0.0,1.7996321730254083,3.238675958188153,7.0,0.0,5.0,0.6190476190476191,0.0,0.9615125521390878,0.924506387921022,5.0,0.0,3.0,1.2142857142857142,1.0,0.7501451659744554,0.5627177700348431,3.0,0.0,3.0,0.21428571428571427,0.0,0.5646373446828087,0.31881533101045295,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.40476190476190477,0.0,1.127473406955306,1.2711962833914052,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2857142857142857,0.0,0.5961549268974563,0.3554006968641115,2.0,15.0,23.0,6.0,7.0,6.0,27.0,0.0,0.0
5,23,The Road to Codd M1,156,18,13,52,16,64,0,0,14,56,3,12,12,48,1,4,0.0,0.0,2.0,1.0,47.0,38.0,0.0,10.0,0.9775280898876404,0.0,1.882802119242678,3.544943820224719,10.0,0.0,5.0,0.4044943820224719,0.0,0.702578063013051,0.4936159346271707,5.0,0.0,2.0,1.101123595505618,1.0,0.6224026725708117,0.3873850868232891,2.0,0.0,3.0,0.48314606741573035,0.0,0.755470346427277,0.5707354443309499,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.42696629213483145,0.0,1.147008366156362,1.3156281920326867,6.0,0.0,1.0,0.011235955056179775,0.0,0.10599978800063599,0.011235955056179773,1.0,0.0,7.0,0.33707865168539325,0.0,1.0546845739659785,1.1123595505617976,7.0,48.0,25.0,16.0,29.0,19.0,41.0,1.0,0.0
5,26,Sprint 2,-13,14,1,13,0,0,0,0,1,13,0,0,0,0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,27,Codd M1,68,49,26,104,13,52,6,24,14,56,6,24,13,52,1,3,0.0,0.0,1.0,0.0,36.0,36.0,0.0,9.0,0.9054054054054054,0.0,1.5976774145822654,2.552573121066272,9.0,0.0,5.0,0.5405405405405406,0.0,0.8140746354190018,0.6627175120325808,5.0,0.0,2.0,1.1081081081081081,1.0,0.6530763358760622,0.4265087004813031,2.0,0.0,3.0,0.4864864864864865,0.0,0.8149837084386184,0.664198445020363,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.43243243243243246,0.0,1.0214290430042767,1.0433172898926324,5.0,0.0,2.0,0.04054054054054054,0.0,0.2585093829509413,0.06682710107367641,2.0,0.0,4.0,0.25675675675675674,0.0,0.7596107656982488,0.5770085153646798,4.0,39.0,31.0,11.0,12.0,20.0,35.0,1.0,0.0
5,30,42 - 2014 Kickoff,40,14,45,180,15,60,0,0,27,108,7,28,26,104,1,5,0.0,0.0,2.0,0.0,58.0,36.0,0.0,10.0,1.1546391752577319,0.0,2.0883616294915606,4.361254295532646,10.0,0.0,5.0,0.44329896907216493,0.0,0.7768670006955884,0.6035223367697594,5.0,0.0,2.0,1.0515463917525774,1.0,0.6826897480526714,0.46606529209621983,2.0,0.0,3.0,0.5154639175257731,0.0,0.8179420576189936,0.6690292096219931,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.44329896907216493,0.0,0.9350698744495476,0.8743556701030927,5.0,0.0,1.0,0.030927835051546393,0.0,0.17402156519994635,0.030283505154639182,1.0,0.0,3.0,0.31958762886597936,0.0,0.6853586614651929,0.4697164948453609,3.0,58.0,37.0,10.0,21.0,29.0,39.0,1.0,0.0
5,33,Sprint 3,0,7,3,9,0,0,0,0,2,6,1,3,0,0,1,3,0.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,4.333333333333333,4.0,3.511884584284246,12.333333333333332,7.0,0.0,1.0,0.6666666666666666,1.0,0.5773502691896258,0.33333333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5773502691896258,0.33333333333333337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.5773502691896258,0.33333333333333337,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
